Ax,Ay,Az
3721,-8993,-53
-3209,10733,-3487
2226,-11792,12995
-689,9696,4657
3079,-8984,-4300
-2991,6759,20446
2195,-5096,2795
-2914,6879,3130
2862,-5838,-2567
-1271,6459,19156
-479,-8197,-12814
-141,8640,14674
-1232,-10948,-4486
-2494,12883,15402
992,-10740,-10448
1638,8329,15652
-3013,-2904,-12927
3618,137,8302
-2934,-2539,-1394
1950,5730,16846
-518,-3374,-11129
3194,-2439,18486
-3389,5656,3196
1011,-6873,13184
505,5036,-8126
387,-4871,15055
-2108,5851,283
4048,-8054,-2118
-3016,9178,5633
4613,-11514,11902
-2232,12934,1187
1568,-10619,-3264
-2496,8630,18773
1544,-3677,-12722
-1726,1370,7599
2825,-3970,-225
-3158,6934,16369
-654,-8461,-11397
1399,7811,19610
-1154,-6824,2411
498,8713,13099
1014,-10025,-8134
395,8931,16135
-2089,-3960,-1450
3751,-455,15621
-3210,2294,-3198
4239,994,14155
1520,-2647,-11022
1784,-846,17982
-2327,4748,-2940
3189,-8620,4390
-2011,9946,-5363
1222,-9979,15524
-383,7679,176
3224,-8074,575
-3931,8204,17198
2824,-7705,5527
-3069,9458,-818
2060,-10409,804
-1958,9227,16692
1099,-4798,-12754
-642,9986,16005
900,-11827,-2268
-3588,12357,13487
1834,-9857,-11113
1815,9129,19032
-1954,-5240,-4547
2930,4098,5811
-1435,-6682,-5695
773,8962,14932
-419,-6156,-11530
3185,-231,21377
-4055,3377,963
2957,-3718,12433
-2974,889,-7937
1763,-1286,18005
-2054,3928,-4704
3045,-7068,2794
-3628,10164,859
3303,-11601,14574
-1445,11851,-2735
1065,-9374,1452
-3791,9269,15234
2571,-5918,-10849
-3060,5389,4610
3081,-7903,3566
-2831,9727,14093
406,-6931,-11315
495,507,21973
49,2455,562
-869,10379,11837
2369,-10432,-7594
369,9380,18764
-2011,-6138,-6159
2606,2082,4547
-3676,-2214,-483
2624,5885,15286
-1174,-6801,-10875
942,2144,20486
-4065,2765,-7604
2906,-7382,7865
-3379,7532,-5932
3104,-6108,17170
-2534,4823,-4114
818,-6681,6124
-4089,8672,13109
3052,-9193,8566
-2700,10504,-4159
1187,-10192,4770
-2363,9301,12898
2698,-6698,-11277
-1046,3013,15170
2922,-3630,1268
-3798,7288,10610
2331,-7880,-10546
1355,3076,20896
-963,2056,-8830
1859,-6790,8603
208,-9976,-5785
-735,10652,17476
-735,-8141,-5331
2809,2167,7915
-3972,616,11779
2989,-131,9559
-2460,-3293,-4962
1003,2309,19691
-2394,1900,-8623
3148,-5648,7622
-1189,9657,-2732
3460,-9749,16055
-3727,8893,-6139
948,-7439,6615
-4255,8749,10666
3394,-7668,-7409
-3752,8581,1259
3044,-10741,7402
-1983,10879,11012
1654,-8525,-9773
-740,3050,22583
971,-293,183
-1926,1122,9164
3124,-4547,-6306
-47,3506,20000
-1770,1179,-9711
1375,-5114,9190
-3384,-6303,-3545
542,9695,16306
-381,-9457,-7042
946,4875,8345
-4210,702,9010
3609,-5175,-5885
-3841,4006,-5130
2938,-1459,17819
-1667,1674,-7616
2056,-5205,11452
-1212,8074,8963
1209,-9374,11182
-2242,9707,-6500
3225,-8949,8898
-2338,8404,8344
3849,-7874,-8614
-1629,5662,12472
4309,-7524,5553
-3422,10725,7206
2348,-10005,-8690
187,5733,21244
-51,15,-11700
592,-4276,9488
1611,2682,-4501
-2126,150,17789
-1093,561,-8572
2372,-4666,13124
-3060,7670,7604
2437,3681,11914
-1355,-6823,-6991
521,5615,10356
-2283,-319,6725
4094,-3802,-7307
-1909,7686,11268
4574,-6307,16236
-3179,4744,-8767
2231,-5078,11667
-399,7441,5389
267,-8702,-2854
140,10459,-1938
1989,-11937,11073
-2477,10539,7053
-1067,-9055,-6660
-2260,5546,21487
1789,-3356,1527
-2660,4942,5425
3148,-7738,-4177
-828,6548,19784
-1079,-1094,-12116
274,-3205,13074
-2204,6767,-4750
-1515,-4953,16015
476,3110,-9485
1367,-4229,13214
-3546,6860,3584
3805,-8950,-1097
-3486,-170,-2872
2402,3292,12204
-746,-1608,5740
2940,-3487,-5330
-2689,6651,20948
1980,-8118,2172
-2824,7141,4212
3017,-6589,13014
-1081,6876,3214
-741,-8204,-4659
3,8134,8306
-1651,-10468,9693
-2094,12703,3402
731,-10716,-5553
-1537,7890,20023
875,-2280,-12878
-910,-795,8672
2525,-1521,-2070
-2950,4736,17056
-1016,-2635,-10771
1773,-2863,17599
-1858,6121,3898
1300,-7404,13107
104,5914,-7999
408,-5569,14204
-2151,6258,1490
4141,-8146,-3200
-2756,4432,6759
4670,-1773,11086
-2445,-89,2072
1709,-2424,-4131
-2121,5717,19273
1248,-8910,-12782
-1410,10568,8129
2740,-11233,-984
-3102,8922,16693
-837,-8618,-2316
1547,7485,19100
-1423,-6258,3876
810,8158,1387
635,-9752,-1198
390,8627,18135
-2134,-3420,-12959
-422,-992,15413
-308,3116,-3687
-3068,-36,14560
1332,-1690,-10840
1764,-1449,17232
-2509,5128,-1826
3340,-8818,3529
-2304,10225,-4996
1503,-10511,15035
-352,8148,1211
3234,-8310,-559
-3791,7908,17994
2759,-7149,4896
-3111,8949,102
2234,-3322,35
-1843,4982,17313
715,-7667,-12842
-555,9708,15856
392,-11719,-2913
-3408,12620,13957
1662,-10117,-1220
1793,9058,17258
-2222,-4679,-12112
3085,3173,6299
-1777,-5707,1369
1084,8273,15403
-370,-5529,-11561
3190,-797,20734
-3997,3949,1386
-148,-4516,12701
1628,1840,-7983
394,-2154,17349
-2074,4369,-3574
3310,-7336,1657
-3503,10019,1895
3637,-11722,14084
-1628,12217,-1854
1108,-9713,426
-3558,9169,16036
2316,-5486,-11349
-2780,4550,5352
3072,-7143,2692
-2972,9254,14682
142,-7498,-11423
727,8515,21599
-204,-8485,802
-559,10127,12240
2069,-10472,-7759
345,9381,18228
-2070,-5713,-5211
2873,1518,15861
-3683,-1254,-772
3004,4939,12242
-1306,-6054,-10980
976,1502,20033
-3924,3180,-6719
2725,-7719,7234
-654,8115,-5894
107,-7010,16829
-546,5431,-3183
3007,-7004,4888
-4124,8598,14050
2995,-8920,7972
-2826,10390,-3470
1363,-10319,3896
-2304,9332,13737
2397,-6348,-11655
-936,2404,15446
2462,-2673,500
-3789,10605,11320
2277,-8526,-10685
1558,9047,20591
-1130,-6772,-7922
2125,6903,8083
-133,-9295,-5862
-379,10381,17246
-639,-7787,-4508
2881,1671,6711
-4059,1261,251
3014,-916,10766
-2643,-2387,-7096
1109,1570,19394
-2370,2363,-7853
2878,-5931,6614
-1107,9913,-2091
3101,-10309,15799
-794,9619,-5435
874,-7866,5452
-4268,8870,11718
3282,-7371,-8225
-3722,8014,2015
3084,-10265,6550
-2190,10780,11750
1384,-8252,-10226
-429,2452,22570
777,350,238
-1707,252,9883
2945,-3675,-6640
67,2666,19732
-1843,-7315,-8955
1625,4154,8181
-3536,-5410,-3058
1035,8912,16130
-586,-8971,-6436
916,4274,7176
-4235,1158,10111
3468,-5773,9267
-3819,4836,-5410
3020,-2513,17687
-1842,2351,-6911
1818,-5523,10312
-897,8234,9775
1046,-9424,10705
-2056,10005,-6040
704,-9256,8014
-2375,8631,9351
3668,-7719,-9198
-1495,5099,13158
4054,-6781,4662
-3499,10092,7956
2361,-9680,-9100
479,5258,21266
-222,395,-11198
853,-4806,9537
1406,3477,-4876
-1835,-812,17760
-1018,1236,-7956
2440,-4947,12146
-3261,-1760,8368
2513,2958,11487
-1626,-6145,-6659
603,4977,9496
-2301,143,7653
3944,-4222,-7982
-1722,8160,11986
4438,-7076,16241
-3290,5616,-8317
2270,-5574,10623
-47,7695,6478
83,-8563,-3768
382,10177,-1322
1782,-11862,10400
-1184,10623,7892
2493,-9020,-7336
-1977,5041,21820
1597,-2771,1204
-2549,4222,6185
3153,-7196,-4614
-685,6010,19891
-1273,-647,-11726
439,-3555,12355
-2464,7239,-4668
-1172,-5665,16138
285,3974,-9102
1283,6836,12362
-3724,-1140,4594
3785,-2633,-2009
-3610,626,-2330
2532,2455,11619
-903,-1011,6506
2783,-3800,-6050
-2446,6955,21257
1878,-8392,1857
-2753,7662,4865
3049,-6994,12224
