Ax,Ay,Az
4706,6700,2400
-6939,4345,-2994
3538,-11757,14762
2851,9764,-971
-6935,169,-9
5333,-9893,14515
718,11839,-3674
-5925,-3859,3420
6396,-7032,13183
-1748,12377,-5522
-4336,-7670,6976
7035,-3263,10819
-3918,-1224,-6271
-2404,10772,10227
6803,-11404,7693
-5440,2916,-5788
-3,7963,12799
5560,-12145,4122
-6555,6609,2420
2444,4298,-2929
3842,-11702,14777
-7098,9684,-825
4524,222,45
1890,-9935,14632
-6534,11699,-3604
-5868,-3941,3519
6432,-6964,13266
-1733,12371,-5514
-4321,-7684,7046
7049,-3218,10811
-3968,11531,-6254
-2324,-10395,10291
6792,828,7675
-5486,9476,-5731
-30,-11984,12771
5569,4835,4184
-6569,6293,-4216
2392,-12175,14374
3859,8260,685
-7108,2371,-1676
4492,348,14779
1921,-9844,-2454
-6494,11652,1632
5900,-3886,3389
-466,-7049,13250
-5225,12366,-5498
6795,-7572,6894
-2863,-3329,10943
-3458,11668,-6207
7063,-10392,10175
-4722,692,7851
-1324,9597,-5765
-128,-11787,12757
5626,4701,4303
-6469,6343,-4169
2367,-12171,14428
3899,8188,918
-7077,2495,-1654
4457,-11098,14880
1986,10744,-2188
-6591,-1651,1537
5866,-8748,14151
-361,12284,-4576
-5281,-5532,4997
6782,-5491,12307
-2765,12233,-5982
-3529,-9025,8425
7038,-1548,9534
-4677,553,-6224
-1407,9713,11393
6325,-11940,6179
-5996,4545,-5253
980,6758,13499
4846,-12172,2678
-6854,7957,-3231
3288,2697,-1907
3060,-11200,14839
-7000,10608,-2097
5171,-1420,1304
996,-8901,14201
-6084,12120,-4489
6356,-5461,4864
-1444,-5595,12453
-2655,12279,-5909
-3634,-8636,8353
7087,-1640,9675
-4604,10847,-6117
-1571,-11178,11353
6374,2363,6457
-5920,8407,-5223
903,-12232,13577
4925,6209,2894
-6902,4874,-3281
3245,-11892,14707
3159,9385,-485
-7018,779,-479
5096,-10229,14658
1098,-8992,-3352
-6174,11904,3013
6334,-5293,13390
-1377,-5778,-5300
-4684,12240,6468
6977,-8771,11266
-3630,-1917,-6240
-2763,11035,9720
6860,-11128,11154
-5253,2204,6559
-458,8515,-5368
5793,-12216,13457
-6431,6089,3001
2027,5000,-3432
4127,-11952,14579
-7130,9081,-362
-6971,1029,-542
4978,-10372,14678
1191,11387,-3144
-6145,-3122,2806
6237,-7599,13590
-1296,12331,-5227
-4681,-6978,6356
6963,-4006,11432
-3544,11886,-6193
-2811,-9985,9640
6896,10,8409
-5216,10054,-5958
-575,-11554,12400
-6810,7510,1543
2976,3330,-2309
4070,-11409,14824
2415,10343,-1641
-6758,-815,780
5597,-9294,14340
171,12005,-4202
-5585,-4820,4232
6625,-6338,12725
-2221,12304,-5702
-3932,-8344,7740
7045,-2415,10289
-4289,11304,-6184
-1886,-10880,10906
6598,1693,7028
-5708,8915,-5496
463,-12093,13255
5239,-12212,3541
-6726,7322,-3732
2870,3875,14424
3555,-11327,53
-6978,10063,-947
4817,-526,14725
1476,-9480,-2813
-6326,11894,2273
6123,-4625,4056
-901,-6392,12839
-4937,12363,-5746
6899,-8218,7531
-3250,-2553,10334
-3110,11397,-6286
6977,-10806,10625
6585,1557,7115
-5645,9089,-5626
349,-12059,13109
5318,5401,3629
-6741,5730,-3857
2754,-12072,14548
3613,8734,294
-7017,1813,-1182
4714,-10765,14832
1635,11110,-2621
-6399,-2365,2165
6034,-8230,13903
-764,12132,-4845
-4953,-6166,5740
6840,-4772,11888
-3179,-2828,-5972
-3150,11469,9080
7035,-10646,9049
-4924,1293,-6020
-982,9204,11939
6105,-12052,5620
-6213,5194,3856
1441,5917,-3987
4549,-12092,14462
-6967,8762,430
3790,2062,-1359
2758,-10908,14705
-6886,11013,-2680
5371,-2233,1937
6039,-8325,13850
-682,12266,-4929
-5030,-6087,5496
6896,-4806,11837
-3090,12044,-6083
-3259,-9417,8938
6987,-905,9124
-4869,10565,-6084
-1077,-11470,11840
6174,3152,5760
-6143,7780,-4914
1403,-12254,13904
4626,6918,2281
-6991,4131,-2766
3651,2134,14827
2789,-10735,-1030
-6842,10850,271
5352,-2014,14543
683,-8465,-3669
-5868,12181,3613
6460,-5928,13209
-1792,-5106,12102
-4322,12143,-6031
7009,-9202,8701
7012,-1209,9210
-4809,10742,-6129
-1207,-11238,11600
6273,2827,5893
-6095,7953,-5099
1191,-12205,13645
4761,6510,2443
-6941,4447,-3072
3512,-11765,14691
2947,9674,-875
-6901,274,-107
5271,-9956,14594
801,11640,-3663
-5948,-3843,3373
6418,-7001,13288
-1649,-5262,-5461
-4429,12163,6969
7021,-9131,10964
-3883,-1339,-6158
-2464,10777,10199
6785,-11340,7858
-5423,2664,-5704
-109,8132,-5061
5586,-12257,13686
-6532,6507,2600
2336,4503,-3031
3908,-11770,14735
-7066,9609,-788
4430,350,-145
5228,-9990,14598
807,11642,-3617
-5978,-3788,3364
6407,-7025,13265
-1611,12317,-5505
-4435,-7544,6818
6983,-3412,10933
-3823,11719,-6226
-2485,-10344,10017
6781,630,7839
-5383,9573,-5797
-160,-11912,12659
5585,4577,4359
-6502,6440,-4234
2312,-12214,14323
3885,-11786,906
-7058,9525,-1720
4396,413,14811
1963,-10089,-2207
-6563,11565,1538
5793,-3709,14088
-332,-7102,-4657
-5261,12324,-5456
6775,-7509,6843
-2792,-3454,10976
-3550,11699,-6221
7018,-10335,9970
-4712,434,7896
-1486,9697,-5769
6313,-11941,12599
